species,country,state_province,county_parish,user_id
Eucalyptus,Australia,Western Australia,,1
Abrothallus bertianus,Austria,,,2
Cocos nucifera,Jamaica,,,3
Eucalyptus,Mexico,,,4
Larrea tridentata,Mexico,,,5
Pinus ayacahuite,Mexico,,,6
Ceiba pentandra,Peru,,,7
Pinus ayacahuite,Peru,,,8
Pinus ponderosa,Peru,,,9
Pinus ponderosa,United States,Arizona,,10
Larrea tridentata,Argentina,,,11
Pinus ponderosa,Argentina,,,12
Ceiba pentandra,Brazil,Amazonas,,13
Ceiba pentandra,Canada,,,14
Erigeron bonariensis,Jamaica,,,15
Cyrilla racemiflora,Jamaica,,,16
Tetracentraceae,United States,,,17
Pinaceae,United States,,,18
Blandfordiaceae,Peru,,,
Blandfordiaceae,United States,,,
Blandfordiaceae,Australia,,,
Blandfordiaceae,France,,,
