Family,Taxon,country,state,county,user_id
Pinaceae,Pinus ponderosa,United States,Arizona,Pima,
,Sphaeralcea ambigua var. rosacea,United States,Arizona,,
,Umbellularia californica,United States,,,
,Umbellularia californica,United States,California,,
,Umbellularia californica,United States,Florida,,
Nepenthaceae,Nepenthaceae,United States,Florida,,
,Stenocereus thurberi,Mexico,Sonora,Aconchi,
,Stenocereus thurberi,France,,,
,Eucalyptus,Peru,,,
,Eucalyptus,Australia,,,
,Eucalyptus,France,,,
